代码,名称,当前价,20日涨幅
300390.SZ,天华新能,50.13,63.77
300058.SZ,蓝色光标,10.59,56.66
002153.SZ,石基信息,12.18,25.83
688234.SS,天岳先进,83.59,17.73
600754.SS,锦江酒店,25.27,16.02
601061.SS,中信金属,14.29,15.99
002558.SZ,巨人网络,40.7,14.68
002563.SZ,森马服饰,5.92,12.33
002738.SZ,中矿资源,63.73,12.0
601019.SS,山东出版,8.49,11.71
000559.SZ,万向钱潮,12.7,11.31
002294.SZ,信立泰,61.77,11.3
002653.SZ,海思科,57.28,11.22
600977.SS,中国电影,15.72,10.94
600141.SS,兴发集团,31.5,10.6
688702.SS,盛科通信,132.2,10.37
002572.SZ,索菲亚,14.03,10.21
002831.SZ,裕同科技,30.13,9.96
000830.SZ,鲁西化工,14.75,9.5
000958.SZ,电投产融,7.07,9.4
002603.SZ,以岭药业,19.13,9.25
603345.SS,安井食品,79.78,9.12
600685.SS,中船防务,30.04,8.88
002155.SZ,湖南黄金,21.99,8.33
688278.SS,特宝生物,76.68,8.29
600329.SS,达仁堂,45.59,8.11
000039.SZ,中集集团,8.91,8.0
600901.SS,江苏金租,6.41,7.73
000426.SZ,兴业银锡,32.9,7.69
000785.SZ,居然智家,3.04,7.42
600258.SS,首旅酒店,15.35,7.34
002508.SZ,老板电器,20.53,7.09
600737.SS,中粮糖业,16.75,6.76
002312.SZ,川发龙蟒,11.76,6.72
002078.SZ,太阳纸业,15.03,6.52
600566.SS,济川药业,26.34,6.38
300115.SZ,长盈精密,38.6,6.34
600863.SS,内蒙华电,4.56,6.29
603568.SS,伟明环保,23.04,6.27
603225.SS,新凤鸣,17.28,5.88
002984.SZ,森麒麟,20.02,5.78
000921.SZ,海信家电,26.59,5.77
300677.SZ,英科医疗,41.53,5.59
000683.SZ,博源化工,7.15,5.46
600096.SS,云天化,30.66,5.4
600060.SS,海信视像,25.53,5.28
002429.SZ,兆驰股份,6.45,5.22
600801.SS,华新水泥,22.48,5.19
603000.SS,人民网,20.85,5.09
600988.SS,赤峰黄金,31.08,4.79
